order_id,product_id,qty,unit_price,discount,line_total
O000001,P0036,2,19.88,0.081,36.54
O000002,P0220,1,45.59,0.052,43.22
O000002,P0095,1,42.2,0.073,39.12
O000003,P0248,1,21.2,0.032,20.52
O000003,P0121,1,15.63,0.066,14.6
O000003,P0177,1,17.81,0.143,15.26
O000003,P0027,2,46.02,0.073,85.32
O000003,P0156,2,35.45,0.045,67.71
O000004,P0162,1,18.58,0.079,17.11
O000004,P0037,1,13.48,0.09,12.27
O000004,P0029,3,6.97,0.063,19.59
O000005,P0168,2,10.35,0.0,20.7
O000005,P0085,1,28.62,0.178,23.53
O000005,P0013,1,16.2,0.065,15.15
O000006,P0158,2,21.35,0.118,37.66
O000006,P0137,1,12.73,0.096,11.51
O000006,P0084,1,29.35,0.092,26.65
O000007,P0055,2,8.85,0.129,15.42
O000008,P0100,1,14.22,0.032,13.76
O000009,P0239,1,32.78,0.077,30.26
O000010,P0123,1,8.84,0.044,8.45
O000010,P0239,2,32.78,0.143,56.18
O000010,P0199,1,14.86,0.0,14.86
O000011,P0164,2,12.63,0.099,22.76
O000011,P0010,1,31.42,0.195,25.29
O000012,P0185,2,28.71,0.128,50.07
O000013,P0107,3,21.9,0.137,56.7
O000013,P0069,1,12.19,0.117,10.76
O000014,P0110,1,41.14,0.113,36.49
O000014,P0028,2,25.75,0.075,47.64
O000014,P0016,2,13.45,0.02,26.36
O000014,P0195,3,30.52,0.152,77.64
O000015,P0072,1,36.14,0.01,35.78
O000015,P0109,1,42.04,0.107,37.54
O000015,P0051,2,16.41,0.058,30.92
O000015,P0026,3,14.88,0.066,41.69
O000016,P0183,2,21.9,0.13,38.11
O000016,P0106,2,13.44,0.033,25.99
O000016,P0230,1,13.77,0.065,12.87
O000017,P0092,1,16.68,0.023,16.3
O000017,P0123,1,8.84,0.053,8.37
O000017,P0169,2,37.88,0.084,69.4
O000018,P0077,1,14.24,0.07,13.24
O000018,P0201,2,11.04,0.14,18.99
O000019,P0122,2,15.12,0.07,28.12
O000019,P0084,1,29.35,0.0,29.35
O000020,P0172,2,34.03,0.092,61.8
O000020,P0117,1,22.92,0.084,20.99
O000021,P0170,2,14.16,0.125,24.78
O000021,P0011,2,18.05,0.059,33.97
O000021,P0129,1,20.54,0.063,19.25
O000021,P0113,1,21.64,0.01,21.42
O000021,P0193,1,5.88,0.104,5.27
O000022,P0074,1,25.79,0.099,23.24
O000022,P0088,1,24.23,0.011,23.96
O000023,P0182,1,17.47,0.0,17.47
O000023,P0098,1,13.94,0.032,13.49
O000023,P0087,1,19.45,0.068,18.13
O000024,P0015,1,11.82,0.108,10.54
O000024,P0146,1,33.84,0.026,32.96
O000025,P0229,1,33.02,0.099,29.75
O000025,P0081,3,26.4,0.067,73.89
O000025,P0061,1,30.68,0.047,29.24
O000025,P0206,2,14.28,0.08,26.28
O000026,P0053,1,30.89,0.041,29.62
O000026,P0210,1,11.81,0.045,11.28
O000027,P0016,1,13.45,0.083,12.33
O000027,P0102,1,37.5,0.0,37.5
O000027,P0089,1,11.92,0.057,11.24
O000028,P0133,1,16.08,0.025,15.68
O000029,P0086,1,16.22,0.045,15.49
O000030,P0212,1,16.93,0.033,16.37
O000030,P0140,1,8.3,0.011,8.21
O000031,P0078,1,21.0,0.061,19.72
O000032,P0250,1,7.24,0.009,7.17
O000033,P0226,3,32.56,0.163,81.76
O000033,P0066,1,22.34,0.061,20.98
O000033,P0148,1,42.47,0.0,42.47
O000033,P0233,1,12.84,0.038,12.35
O000033,P0152,1,17.8,0.045,17.0
O000034,P0093,1,27.83,0.044,26.61
O000035,P0129,1,20.54,0.14,17.66
O000035,P0224,1,16.4,0.077,15.14
O000035,P0065,1,25.32,0.091,23.02
O000036,P0002,1,8.74,0.052,8.29
O000036,P0091,1,35.02,0.089,31.9
O000037,P0117,1,22.92,0.023,22.39
O000038,P0006,2,18.72,0.17,31.08
O000039,P0049,1,40.06,0.082,36.78
O000039,P0149,2,16.84,0.01,33.34
O000039,P0125,1,10.12,0.034,9.78
O000040,P0174,1,25.93,0.041,24.87
O000041,P0171,1,40.22,0.089,36.64
O000042,P0103,1,30.37,0.04,29.16
O000042,P0187,1,14.49,0.077,13.37
O000043,P0216,2,31.94,0.052,60.56
O000044,P0025,3,29.52,0.112,78.64
O000045,P0217,1,34.73,0.118,30.63
O000045,P0096,1,17.99,0.107,16.07
O000045,P0236,1,7.63,0.126,6.67
O000046,P0146,1,33.84,0.0,33.84
O000046,P0214,2,25.36,0.084,46.46
O000047,P0170,1,14.16,0.135,12.25
O000047,P0084,1,29.35,0.0,29.35
O000047,P0175,1,18.4,0.076,17.0
O000047,P0064,1,11.73,0.035,11.32
O000047,P0250,2,7.24,0.005,14.41
O000048,P0028,1,25.75,0.05,24.46
O000048,P0112,1,25.25,0.117,22.3
O000049,P0073,3,36.91,0.072,102.76
O000049,P0140,2,8.3,0.041,15.92
O000049,P0066,1,22.34,0.031,21.65
O000050,P0140,2,8.3,0.031,16.09
O000051,P0136,2,46.55,0.011,92.08
O000051,P0150,1,45.15,0.004,44.97
O000051,P0156,1,35.45,0.032,34.32
O000051,P0094,1,43.5,0.037,41.89
O000052,P0016,2,13.45,0.067,25.1
O000052,P0179,3,9.44,0.041,27.16
O000052,P0103,1,30.37,0.025,29.61
O000053,P0101,2,32.68,0.063,61.24
O000054,P0230,1,13.77,0.098,12.42
O000054,P0024,1,56.93,0.106,50.9
O000055,P0123,3,8.84,0.012,26.2
O000055,P0135,1,40.49,0.014,39.92
O000056,P0165,1,22.99,0.027,22.37
O000056,P0067,1,18.68,0.049,17.76
O000056,P0018,3,13.79,0.007,41.08
O000056,P0115,3,26.06,0.052,74.11
O000057,P0249,2,38.52,0.036,74.27
O000058,P0035,1,6.52,0.064,6.1
O000058,P0006,3,18.72,0.0,56.16
O000059,P0030,1,18.15,0.0,18.15
O000059,P0158,1,21.35,0.046,20.37
O000059,P0111,1,11.07,0.068,10.32
O000059,P0171,1,40.22,0.085,36.8
O000060,P0115,1,26.06,0.059,24.52
O000060,P0139,2,5.51,0.049,10.48
O000060,P0003,2,22.9,0.124,40.12
O000061,P0245,2,33.56,0.083,61.55
O000061,P0004,1,15.82,0.077,14.6
O000061,P0215,1,29.77,0.096,26.91
O000062,P0171,1,40.22,0.053,38.09
O000063,P0074,1,25.79,0.065,24.11
O000063,P0065,2,25.32,0.057,47.75
O000063,P0202,1,13.16,0.028,12.79
O000064,P0086,2,16.22,0.007,32.21
O000064,P0173,1,42.99,0.055,40.63
O000064,P0107,1,21.9,0.041,21.0
O000065,P0182,1,17.47,0.142,14.99
O000065,P0059,1,10.19,0.075,9.43
O000065,P0084,1,29.35,0.09,26.71
O000066,P0246,1,16.84,0.108,15.02
O000066,P0221,1,37.61,0.119,33.13
O000067,P0098,1,13.94,0.117,12.31
O000068,P0054,2,27.09,0.0,54.18
O000069,P0141,3,10.62,0.053,30.17
O000069,P0010,2,31.42,0.0,62.84
O000070,P0197,1,14.06,0.036,13.55
O000071,P0161,2,32.93,0.118,58.09
O000072,P0039,1,15.31,0.13,13.32
O000072,P0063,1,13.43,0.062,12.6
O000073,P0193,1,5.88,0.106,5.26
O000074,P0117,2,22.92,0.058,43.18
O000075,P0088,1,24.23,0.03,23.5
O000075,P0067,2,18.68,0.069,34.78
O000075,P0238,1,16.15,0.003,16.1
O000076,P0022,1,28.89,0.09,26.29
O000077,P0062,1,41.55,0.086,37.98
O000077,P0025,1,29.52,0.017,29.02
O000077,P0087,2,19.45,0.052,36.88
O000078,P0154,1,20.67,0.095,18.71
O000079,P0201,1,11.04,0.016,10.86
O000079,P0190,1,61.29,0.041,58.78
O000080,P0136,1,46.55,0.032,45.06
O000080,P0055,2,8.85,0.074,16.39
O000080,P0039,1,15.31,0.143,13.12
O000081,P0144,1,16.72,0.087,15.27
O000082,P0139,2,5.51,0.139,9.49
O000082,P0095,1,42.2,0.0,42.2
O000082,P0043,1,29.86,0.014,29.44
O000083,P0026,3,14.88,0.069,41.56
O000084,P0167,1,15.23,0.039,14.64
O000084,P0079,2,47.31,0.096,85.54
O000085,P0249,1,38.52,0.078,35.52
O000085,P0044,1,10.28,0.116,9.09
O000085,P0236,1,7.63,0.071,7.09
O000086,P0123,2,8.84,0.036,17.04
O000087,P0117,1,22.92,0.0,22.92
O000088,P0070,2,14.55,0.0,29.1
O000088,P0207,1,20.77,0.034,20.06
O000088,P0136,2,46.55,0.078,85.84
O000089,P0155,2,41.13,0.081,75.6
O000089,P0169,2,37.88,0.0,75.76
O000089,P0221,1,37.61,0.0,37.61
O000090,P0141,1,10.62,0.124,9.3
O000090,P0008,2,22.84,0.088,41.66
O000091,P0145,1,18.18,0.098,16.4
O000091,P0097,1,39.94,0.057,37.66
O000092,P0185,1,28.71,0.074,26.59
O000092,P0045,2,7.71,0.021,15.1
O000093,P0029,2,6.97,0.0,13.94
O000093,P0213,1,24.99,0.0,24.99
O000093,P0215,1,29.77,0.022,29.12
O000093,P0077,2,14.24,0.134,24.66
O000094,P0241,2,38.79,0.013,76.57
O000094,P0122,2,15.12,0.035,29.18
O000095,P0068,1,51.86,0.066,48.44
O000095,P0063,3,13.43,0.059,37.91
O000096,P0122,2,15.12,0.014,29.82
O000096,P0004,1,15.82,0.158,13.32
O000096,P0058,2,16.25,0.14,27.95
O000096,P0153,2,30.01,0.001,59.96
O000097,P0113,1,21.64,0.093,19.63
O000097,P0222,1,24.29,0.173,20.09
O000098,P0183,1,21.9,0.126,19.14
O000098,P0045,2,7.71,0.149,13.12
O000098,P0061,1,30.68,0.185,25.0
O000099,P0041,1,14.57,0.036,14.05
O000099,P0067,1,18.68,0.0,18.68
O000099,P0136,1,46.55,0.058,43.85
O000100,P0198,2,11.45,0.043,21.92
O000100,P0131,2,17.6,0.036,33.93
O000101,P0046,1,16.31,0.04,15.66
O000101,P0182,2,17.47,0.099,31.48
O000102,P0008,1,22.84,0.018,22.43
O000102,P0069,1,12.19,0.094,11.04
O000102,P0148,1,42.47,0.115,37.59
O000103,P0090,1,36.13,0.022,35.34
O000103,P0096,2,17.99,0.025,35.08
O000103,P0126,2,9.3,0.092,16.89
O000103,P0042,1,25.76,0.064,24.11
O000104,P0007,2,15.53,0.032,30.07
O000104,P0241,1,38.79,0.06,36.46
O000104,P0036,1,19.88,0.005,19.78
O000104,P0136,1,46.55,0.059,43.8
O000104,P0019,3,34.77,0.104,93.46
O000105,P0068,1,51.86,0.064,48.54
O000105,P0182,2,17.47,0.0,34.94
O000105,P0212,1,16.93,0.084,15.51
O000105,P0204,1,21.03,0.031,20.38
O000106,P0059,3,10.19,0.074,28.31
O000107,P0134,1,38.31,0.0,38.31
O000107,P0040,2,23.99,0.094,43.47
O000107,P0010,1,31.42,0.098,28.34
O000108,P0247,1,8.53,0.102,7.66
O000108,P0067,1,18.68,0.082,17.15
O000108,P0204,1,21.03,0.0,21.03
O000109,P0118,3,73.69,0.065,206.7
O000109,P0242,1,24.23,0.101,21.78
O000110,P0129,3,20.54,0.038,59.28
O000110,P0022,1,28.89,0.143,24.76
O000110,P0053,2,30.89,0.034,59.68
O000110,P0176,1,23.22,0.133,20.13
O000110,P0031,2,63.52,0.045,121.32
O000111,P0098,1,13.94,0.056,13.16
O000112,P0096,2,17.99,0.0,35.98
O000112,P0071,1,40.14,0.044,38.37
O000112,P0044,1,10.28,0.052,9.75
O000113,P0087,1,19.45,0.059,18.3
O000113,P0034,1,9.1,0.0,9.1
O000114,P0080,1,30.47,0.095,27.58
O000114,P0097,1,39.94,0.076,36.9
O000115,P0062,1,41.55,0.082,38.14
O000115,P0232,1,21.79,0.015,21.46
O000115,P0066,2,22.34,0.015,44.01
O000116,P0094,2,43.5,0.064,81.43
O000116,P0112,1,25.25,0.086,23.08
O000116,P0133,1,16.08,0.11,14.31
O000116,P0086,1,16.22,0.0,16.22
O000116,P0138,1,38.15,0.065,35.67
O000117,P0081,1,26.4,0.014,26.03
O000117,P0153,1,30.01,0.086,27.43
O000118,P0046,1,16.31,0.047,15.54
O000119,P0227,1,19.59,0.1,17.63
O000119,P0217,2,34.73,0.001,69.39
O000119,P0034,1,9.1,0.017,8.95
O000119,P0021,1,27.25,0.074,25.23
O000119,P0025,1,29.52,0.05,28.04
O000120,P0087,1,19.45,0.071,18.07
O000121,P0084,1,29.35,0.0,29.35
O000121,P0121,3,15.63,0.116,41.45
O000121,P0082,1,30.8,0.096,27.84
O000121,P0192,1,67.08,0.132,58.23
O000121,P0197,1,14.06,0.0,14.06
O000122,P0041,3,14.57,0.036,42.14
O000122,P0247,1,8.53,0.084,7.81
O000122,P0161,1,32.93,0.069,30.66
O000123,P0226,1,32.56,0.113,28.88
O000123,P0148,2,42.47,0.044,81.2
O000124,P0208,1,36.37,0.063,34.08
O000124,P0157,1,24.44,0.02,23.95
O000124,P0130,3,10.78,0.118,28.52
O000125,P0197,2,14.06,0.142,24.13
O000125,P0161,1,32.93,0.0,32.93
O000125,P0036,2,19.88,0.053,37.65
O000126,P0210,1,11.81,0.026,11.5
O000126,P0043,1,29.86,0.113,26.49
O000127,P0166,1,23.97,0.0,23.97
O000128,P0132,1,35.23,0.124,30.86
O000128,P0228,2,32.56,0.038,62.65
O000129,P0238,1,16.15,0.048,15.37
O000129,P0116,1,52.74,0.0,52.74
O000129,P0194,1,22.82,0.031,22.11
O000130,P0048,1,18.58,0.0,18.58
O000130,P0219,1,24.44,0.077,22.56
O000131,P0038,1,12.06,0.064,11.29
O000131,P0237,2,27.95,0.07,51.99
O000131,P0160,1,18.56,0.095,16.8
O000131,P0164,1,12.63,0.032,12.23
O000132,P0010,1,31.42,0.081,28.87
O000133,P0088,3,24.23,0.093,65.93
O000133,P0022,1,28.89,0.018,28.37
O000133,P0207,3,20.77,0.0,62.31
O000133,P0126,1,9.3,0.068,8.67
O000134,P0012,2,30.42,0.0,60.84
O000134,P0042,1,25.76,0.0,25.76
O000135,P0032,1,16.41,0.041,15.74
